IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.218.48.92,2083,2083,true,HKG,Asia Pacific,Hong Kong,96,8.26
8.210.101.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,8.26
8.219.193.202,2086,2086,false,SIN,Asia Pacific,Singapore,19,8.26
47.236.83.239,2086,2086,false,SIN,Asia Pacific,Singapore,19,8.26
8.218.204.128,8443,8443,true,HKG,Asia Pacific,Hong Kong,79,8.25
8.219.163.195,8080,8080,false,SIN,Asia Pacific,Singapore,7,8.25
8.218.188.129,8443,8443,true,HKG,Asia Pacific,Hong Kong,92,8.25
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,82,8.24
47.236.97.90,2087,2087,true,SIN,Asia Pacific,Singapore,86,8.23
8.219.50.180,2086,2086,false,SIN,Asia Pacific,Singapore,7,8.23
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,60,8.22
8.218.142.253,80,80,false,HKG,Asia Pacific,Hong Kong,66,8.22
8.222.136.247,2095,2095,false,SIN,Asia Pacific,Singapore,7,8.21
8.219.170.232,2096,2096,true,SIN,Asia Pacific,Singapore,56,8.19
8.219.5.10,2096,2096,true,SIN,Asia Pacific,Singapore,62,8.19
8.219.98.13,2082,2082,false,SIN,Asia Pacific,Singapore,20,8.19
47.243.107.148,2095,2095,false,HKG,Asia Pacific,Hong Kong,67,8.18
47.236.167.231,2095,2095,false,SIN,Asia Pacific,Singapore,27,8.18
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,157,8.18
8.222.208.38,8880,8880,false,SIN,Asia Pacific,Singapore,20,8.18
8.222.191.138,80,80,false,SIN,Asia Pacific,Singapore,20,8.17
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,8.16
47.236.164.215,2052,2052,false,SIN,Asia Pacific,Singapore,36,8.16
8.217.159.210,2096,2096,true,HKG,Asia Pacific,Hong Kong,91,8.16
8.217.85.14,2087,2087,true,HKG,Asia Pacific,Hong Kong,61,8.16
8.210.21.65,2083,2083,true,HKG,Asia Pacific,Hong Kong,66,8.16
8.217.147.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,98,8.16
8.222.215.228,8880,8880,false,SIN,Asia Pacific,Singapore,65,8.15
47.243.169.63,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,8.15
8.219.201.245,2096,2096,true,SIN,Asia Pacific,Singapore,52,8.15
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,60,8.15
47.243.86.79,2082,2082,false,HKG,Asia Pacific,Hong Kong,53,8.15
8.219.87.30,2053,2053,true,SIN,Asia Pacific,Singapore,90,8.15
47.236.169.164,8443,8443,true,SIN,Asia Pacific,Singapore,56,8.14
8.219.60.54,2053,2053,true,SIN,Asia Pacific,Singapore,50,8.14
47.242.36.78,8443,8443,true,HKG,Asia Pacific,Hong Kong,108,8.14
47.243.91.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,64,8.13
47.236.118.216,2096,2096,true,SIN,Asia Pacific,Singapore,121,8.13
47.242.155.183,2083,2083,true,HKG,Asia Pacific,Hong Kong,57,8.12
8.218.52.115,2086,2086,false,HKG,Asia Pacific,Hong Kong,42,8.12
8.217.250.5,2087,2087,true,HKG,Asia Pacific,Hong Kong,106,8.11
8.219.117.198,2086,2086,false,SIN,Asia Pacific,Singapore,19,8.11
8.219.97.50,2052,2052,false,SIN,Asia Pacific,Singapore,12,8.11
8.219.194.170,8443,8443,true,SIN,Asia Pacific,Singapore,199,8.10
8.210.156.6,2095,2095,false,HKG,Asia Pacific,Hong Kong,47,8.10
8.222.144.50,80,80,false,SIN,Asia Pacific,Singapore,7,8.10
8.217.221.165,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,8.10
8.210.34.188,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,8.09
47.236.149.107,2086,2086,false,SIN,Asia Pacific,Singapore,30,8.08
8.210.175.109,80,80,false,HKG,Asia Pacific,Hong Kong,40,8.08
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,23,8.08
8.217.164.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,8.08
8.217.193.25,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,8.07
8.218.52.115,2082,2082,false,HKG,Asia Pacific,Hong Kong,54,8.07
8.219.199.220,2096,2096,true,SIN,Asia Pacific,Singapore,98,8.07
47.76.159.146,2053,2053,true,HKG,Asia Pacific,Hong Kong,92,8.07
8.218.52.115,2095,2095,false,HKG,Asia Pacific,Hong Kong,40,8.07
8.219.189.143,80,80,false,SIN,Asia Pacific,Singapore,7,8.07
47.243.234.9,80,80,false,HKG,Asia Pacific,Hong Kong,43,8.06
47.243.206.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,46,8.06
8.219.6.150,2095,2095,false,SIN,Asia Pacific,Singapore,45,8.05
47.237.81.112,8443,8443,true,SIN,Asia Pacific,Singapore,138,8.05
47.236.169.164,2083,2083,true,SIN,Asia Pacific,Singapore,158,8.04
47.236.169.164,2087,2087,true,SIN,Asia Pacific,Singapore,111,8.04
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,71,8.04
47.243.91.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,65,8.04
8.219.77.222,2082,2082,false,SIN,Asia Pacific,Singapore,15,8.04
8.222.156.242,2083,2083,true,SIN,Asia Pacific,Singapore,51,8.03
47.236.123.133,2053,2053,true,SIN,Asia Pacific,Singapore,51,8.03
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,8.03
8.219.142.191,80,80,false,SIN,Asia Pacific,Singapore,16,8.03
8.219.66.156,2086,2086,false,NRT,Asia Pacific,Tokyo,76,8.03
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,47,8.03
8.222.237.131,2052,2052,false,SIN,Asia Pacific,Singapore,8,8.03
47.236.172.95,2096,2096,true,SIN,Asia Pacific,Singapore,96,8.02
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,74,8.01
8.219.110.81,2083,2083,true,SIN,Asia Pacific,Singapore,56,8.01
47.236.170.225,8080,8080,false,SIN,Asia Pacific,Singapore,28,8.01
8.218.52.115,2086,2086,false,HKG,Asia Pacific,Hong Kong,39,8.00
8.222.144.50,2082,2082,false,SIN,Asia Pacific,Singapore,26,8.00
8.222.215.228,8080,8080,false,SIN,Asia Pacific,Singapore,8,8.00
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,13,8.00
8.219.120.87,2052,2052,false,SIN,Asia Pacific,Singapore,9,7.99
8.219.126.240,443,443,true,SIN,Asia Pacific,Singapore,89,7.99
8.210.34.188,2083,2083,true,HKG,Asia Pacific,Hong Kong,113,7.99
8.222.208.38,2096,2096,true,SIN,Asia Pacific,Singapore,71,7.99
