IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,7.98
8.210.119.11,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,7.98
8.222.146.222,2053,2053,true,SIN,Asia Pacific,Singapore,59,7.98
8.219.198.34,2087,2087,true,SIN,Asia Pacific,Singapore,94,7.97
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,49,7.97
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,83,7.96
8.222.222.64,2087,2087,true,SIN,Asia Pacific,Singapore,56,7.96
47.236.164.215,2083,2083,true,SIN,Asia Pacific,Singapore,114,7.96
8.222.180.86,8443,8443,true,SIN,Asia Pacific,Singapore,51,7.96
8.222.193.65,2082,2082,false,SIN,Asia Pacific,Singapore,23,7.96
8.222.208.38,8443,8443,true,SIN,Asia Pacific,Singapore,44,7.96
8.219.40.37,2086,2086,false,SIN,Asia Pacific,Singapore,18,7.95
8.218.8.142,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,7.95
8.219.202.130,2083,2083,true,SIN,Asia Pacific,Singapore,97,7.95
8.219.93.5,2095,2095,false,SIN,Asia Pacific,Singapore,24,7.95
8.219.189.143,8880,8880,false,SIN,Asia Pacific,Singapore,40,7.95
8.219.87.30,2086,2086,false,SIN,Asia Pacific,Singapore,36,7.95
8.219.210.64,8443,8443,true,SIN,Asia Pacific,Singapore,61,7.94
8.222.162.45,2083,2083,true,SIN,Asia Pacific,Singapore,78,7.94
8.219.194.170,2052,2052,false,SIN,Asia Pacific,Singapore,13,7.93
8.210.39.96,2083,2083,true,HKG,Asia Pacific,Hong Kong,77,7.92
8.219.5.10,2082,2082,false,SIN,Asia Pacific,Singapore,21,7.92
8.210.9.129,2087,2087,true,HKG,Asia Pacific,Hong Kong,48,7.92
8.222.162.45,8443,8443,true,SIN,Asia Pacific,Singapore,9,7.92
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,33,7.91
8.222.134.170,2052,2052,false,SIN,Asia Pacific,Singapore,32,7.91
47.243.139.85,80,80,false,HKG,Asia Pacific,Hong Kong,44,7.91
8.219.6.150,2052,2052,false,SIN,Asia Pacific,Singapore,3,7.91
8.219.77.222,8880,8880,false,SIN,Asia Pacific,Singapore,15,7.90
8.219.1.92,2052,2052,false,SIN,Asia Pacific,Singapore,6,7.90
8.222.162.45,2053,2053,true,SIN,Asia Pacific,Singapore,56,7.90
8.219.49.65,2083,2083,true,SIN,Asia Pacific,Singapore,37,7.90
8.217.149.28,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,7.90
8.219.67.133,2086,2086,false,SIN,Asia Pacific,Singapore,74,7.89
8.219.201.245,443,443,true,SIN,Asia Pacific,Singapore,85,7.89
8.219.11.158,8080,8080,false,SIN,Asia Pacific,Singapore,3,7.89
8.219.106.156,443,443,true,SIN,Asia Pacific,Singapore,99,7.89
8.219.177.205,2052,2052,false,SIN,Asia Pacific,Singapore,19,7.88
8.219.177.205,2052,2052,false,SIN,Asia Pacific,Singapore,32,7.88
8.222.167.147,2086,2086,false,SIN,Asia Pacific,Singapore,20,7.87
8.219.114.201,2052,2052,false,SIN,Asia Pacific,Singapore,17,7.87
8.219.97.50,8443,8443,true,SIN,Asia Pacific,Singapore,96,7.87
8.219.114.201,2086,2086,false,SIN,Asia Pacific,Singapore,22,7.87
47.237.86.185,2052,2052,false,SIN,Asia Pacific,Singapore,26,7.87
8.218.22.210,80,80,false,HKG,Asia Pacific,Hong Kong,36,7.87
8.222.160.176,8443,8443,true,SIN,Asia Pacific,Singapore,137,7.87
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,48,7.87
8.219.248.47,2053,2053,true,SIN,Asia Pacific,Singapore,55,7.86
8.218.11.90,2083,2083,true,HKG,Asia Pacific,Hong Kong,93,7.86
8.219.198.34,2095,2095,false,SIN,Asia Pacific,Singapore,19,7.85
8.222.136.247,2087,2087,true,SIN,Asia Pacific,Singapore,50,7.84
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,38,7.84
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,47,7.84
8.219.201.245,80,80,false,SIN,Asia Pacific,Singapore,24,7.84
8.219.191.110,2052,2052,false,SIN,Asia Pacific,Singapore,48,7.84
8.218.174.118,8080,8080,false,HKG,Asia Pacific,Hong Kong,41,7.84
8.219.229.190,2083,2083,true,SIN,Asia Pacific,Singapore,44,7.83
8.219.83.71,2086,2086,false,SIN,Asia Pacific,Singapore,13,7.83
8.219.163.195,8880,8880,false,SIN,Asia Pacific,Singapore,27,7.83
47.243.139.243,8880,8880,false,HKG,Asia Pacific,Hong Kong,48,7.83
47.242.171.94,2082,2082,false,HKG,Asia Pacific,Hong Kong,48,7.82
8.219.110.81,80,80,false,SIN,Asia Pacific,Singapore,25,7.82
8.219.113.232,2096,2096,true,SIN,Asia Pacific,Singapore,70,7.82
8.219.191.40,2086,2086,false,SIN,Asia Pacific,Singapore,8,7.81
47.242.17.250,2087,2087,true,HKG,Asia Pacific,Hong Kong,91,7.81
47.236.169.15,2053,2053,true,SIN,Asia Pacific,Singapore,112,7.81
8.222.137.192,2053,2053,true,SIN,Asia Pacific,Singapore,65,7.81
47.243.86.79,2052,2052,false,HKG,Asia Pacific,Hong Kong,48,7.80
8.219.120.87,80,80,false,SIN,Asia Pacific,Singapore,16,7.80
8.219.106.156,2086,2086,false,SIN,Asia Pacific,Singapore,23,7.80
8.217.91.121,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,7.79
47.76.32.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,7.78
47.243.139.243,8080,8080,false,HKG,Asia Pacific,Hong Kong,50,7.78
8.219.248.47,8080,8080,false,SIN,Asia Pacific,Singapore,4,7.78
8.217.207.60,2053,2053,true,HKG,Asia Pacific,Hong Kong,43,7.77
8.222.249.190,2052,2052,false,SIN,Asia Pacific,Singapore,17,7.77
8.222.136.247,8443,8443,true,SIN,Asia Pacific,Singapore,75,7.77
8.218.2.181,2087,2087,true,HKG,Asia Pacific,Hong Kong,54,7.77
