IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.217.49.34,2053,true,HKG,Asia Pacific,Hong Kong,70 ms,17792 kB/s
8.218.52.115,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,13341 kB/s
47.243.234.9,2053,true,TPE,Asia Pacific,Taipei,76 ms,11883 kB/s
47.238.131.39,8443,true,TPE,Asia Pacific,Taipei,91 ms,10962 kB/s
47.243.186.171,2053,true,TPE,Asia Pacific,Taipei,84 ms,10840 kB/s
47.243.186.171,8443,true,TPE,Asia Pacific,Taipei,86 ms,10738 kB/s
47.76.233.67,2083,true,TPE,Asia Pacific,Taipei,90 ms,9627 kB/s
47.243.186.171,2083,true,TPE,Asia Pacific,Taipei,85 ms,9421 kB/s
47.242.155.183,2096,true,NRT,Asia Pacific,Tokyo,112 ms,8904 kB/s
47.76.233.67,2096,true,TPE,Asia Pacific,Taipei,90 ms,8504 kB/s
47.243.183.127,8443,true,SJC,North America,San Jose,271 ms,8359 kB/s
47.238.131.39,2096,true,TPE,Asia Pacific,Taipei,87 ms,8126 kB/s
47.238.131.39,443,true,NRT,Asia Pacific,Tokyo,70 ms,8112 kB/s
47.242.155.183,8443,true,NRT,Asia Pacific,Tokyo,108 ms,7866 kB/s
47.76.159.146,2087,true,SJC,North America,San Jose,244 ms,7770 kB/s
47.76.213.245,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,7735 kB/s
47.242.252.237,2096,true,SJC,North America,San Jose,253 ms,7552 kB/s
8.219.5.10,2083,true,SIN,Asia Pacific,Singapore,217 ms,7385 kB/s
8.210.101.157,2053,true,LAX,North America,Los Angeles,210 ms,7345 kB/s
47.243.183.127,2087,true,SJC,North America,San Jose,254 ms,7230 kB/s
47.76.233.67,2087,true,TPE,Asia Pacific,Taipei,86 ms,7116 kB/s
8.222.204.128,443,true,SIN,Asia Pacific,Singapore,222 ms,7068 kB/s
47.242.252.237,2053,true,LAX,North America,Los Angeles,198 ms,7022 kB/s
47.76.213.245,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,6978 kB/s
47.243.183.127,2053,true,SJC,North America,San Jose,261 ms,6802 kB/s
47.243.183.127,2083,true,LAX,North America,Los Angeles,253 ms,6786 kB/s
47.242.202.230,2083,true,LAX,North America,Los Angeles,202 ms,6524 kB/s
47.76.233.67,8443,true,TPE,Asia Pacific,Taipei,88 ms,6490 kB/s
8.210.207.214,2087,true,LAX,North America,Los Angeles,212 ms,6281 kB/s
47.243.107.148,2053,true,LAX,North America,Los Angeles,213 ms,6265 kB/s
47.242.79.71,2083,true,LAX,North America,Los Angeles,215 ms,6213 kB/s
47.236.166.131,8443,true,SIN,Asia Pacific,Singapore,222 ms,6141 kB/s
47.242.155.183,2087,true,NRT,Asia Pacific,Tokyo,112 ms,6105 kB/s
47.238.131.39,2083,true,TPE,Asia Pacific,Taipei,88 ms,5970 kB/s
8.217.248.220,2087,true,NRT,Asia Pacific,Tokyo,105 ms,5950 kB/s
47.236.205.188,8443,true,SIN,Asia Pacific,Singapore,219 ms,5910 kB/s
8.217.239.116,8443,true,SJC,North America,San Jose,261 ms,5890 kB/s
47.243.107.148,2083,true,LAX,North America,Los Angeles,204 ms,5875 kB/s
47.245.96.80,2096,true,SIN,Asia Pacific,Singapore,226 ms,5691 kB/s
47.236.10.100,2087,true,SIN,Asia Pacific,Singapore,234 ms,5658 kB/s
47.236.144.48,2083,true,SIN,Asia Pacific,Singapore,219 ms,5612 kB/s
47.236.180.24,2096,true,SIN,Asia Pacific,Singapore,226 ms,5559 kB/s
47.242.79.71,2087,true,SJC,North America,San Jose,249 ms,5549 kB/s
47.245.96.80,2087,true,SIN,Asia Pacific,Singapore,227 ms,5493 kB/s
8.210.207.214,2053,true,LAX,North America,Los Angeles,221 ms,5414 kB/s
8.210.207.214,8443,true,SJC,North America,San Jose,244 ms,5401 kB/s
47.236.232.148,2053,true,SIN,Asia Pacific,Singapore,215 ms,5356 kB/s
47.236.166.131,2083,true,SIN,Asia Pacific,Singapore,215 ms,5057 kB/s
47.76.77.103,2083,true,HKG,Asia Pacific,Hong Kong,63 ms,4894 kB/s
47.236.180.24,2087,true,SIN,Asia Pacific,Singapore,222 ms,4805 kB/s
8.210.55.134,2083,true,SJC,North America,San Jose,244 ms,4802 kB/s
