IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.17.193,80,80,false,SIN,Asia Pacific,Singapore,15,3.23
47.243.86.79,2086,2086,false,HKG,Asia Pacific,Hong Kong,38,3.23
47.76.146.1,2052,2052,false,HKG,Asia Pacific,Hong Kong,59,3.22
8.218.204.128,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,3.22
8.219.161.129,2096,2096,true,SIN,Asia Pacific,Singapore,79,3.22
8.219.11.158,2082,2082,false,SIN,Asia Pacific,Singapore,53,3.22
47.76.146.1,2095,2095,false,HKG,Asia Pacific,Hong Kong,78,3.22
8.219.97.50,2083,2083,true,SIN,Asia Pacific,Singapore,75,3.22
47.245.86.230,2083,2083,true,SIN,Asia Pacific,Singapore,64,3.21
8.219.83.201,8443,8443,true,SIN,Asia Pacific,Singapore,80,3.21
47.243.60.150,8880,8880,false,HKG,Asia Pacific,Hong Kong,47,3.21
47.243.173.187,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,3.21
47.245.102.52,80,80,false,SIN,Asia Pacific,Singapore,6,3.20
47.236.144.48,2083,2083,true,SIN,Asia Pacific,Singapore,82,3.20
8.217.149.28,2052,2052,false,HKG,Asia Pacific,Hong Kong,38,3.20
47.236.202.91,2086,2086,false,SIN,Asia Pacific,Singapore,27,3.20
8.219.201.245,8443,8443,true,SIN,Asia Pacific,Singapore,81,3.19
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,87,3.19
47.245.102.52,80,80,false,SIN,Asia Pacific,Singapore,37,3.19
47.237.14.220,8880,8880,false,SIN,Asia Pacific,Singapore,32,3.18
8.210.3.24,8880,8880,false,HKG,Asia Pacific,Hong Kong,41,3.18
47.76.80.72,2082,2082,false,HKG,Asia Pacific,Hong Kong,70,3.17
8.217.207.60,2086,2086,false,HKG,Asia Pacific,Hong Kong,58,3.17
8.217.251.62,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,3.17
47.243.107.148,2083,2083,true,HKG,Asia Pacific,Hong Kong,84,3.17
8.210.100.23,2096,2096,true,HKG,Asia Pacific,Hong Kong,57,3.17
47.243.107.148,2082,2082,false,HKG,Asia Pacific,Hong Kong,49,3.17
8.217.164.10,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,3.16
47.236.144.156,2087,2087,true,SIN,Asia Pacific,Singapore,46,3.16
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,50,3.16
8.222.187.4,8880,8880,false,SIN,Asia Pacific,Singapore,13,3.15
8.217.221.165,2087,2087,true,HKG,Asia Pacific,Hong Kong,74,3.15
8.217.159.210,80,80,false,HKG,Asia Pacific,Hong Kong,33,3.15
8.210.175.109,2083,2083,true,HKG,Asia Pacific,Hong Kong,51,3.15
8.210.207.214,2052,2052,false,HKG,Asia Pacific,Hong Kong,51,3.15
8.219.237.250,8443,8443,true,SIN,Asia Pacific,Singapore,60,3.14
47.243.90.180,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,3.13
47.245.118.70,80,80,false,SIN,Asia Pacific,Singapore,74,3.13
47.242.202.230,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,3.13
8.222.164.209,2087,2087,true,SIN,Asia Pacific,Singapore,40,3.13
47.243.60.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,60,3.13
8.222.136.247,2083,2083,true,SIN,Asia Pacific,Singapore,63,3.12
47.236.104.11,80,80,false,SIN,Asia Pacific,Singapore,32,3.12
47.243.107.148,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,3.12
8.222.150.197,8443,8443,true,SIN,Asia Pacific,Singapore,97,3.12
8.222.222.64,8443,8443,true,SIN,Asia Pacific,Singapore,37,3.12
8.209.91.113,443,443,true,FRA,Europe,Frankfurt,284,3.12
8.217.91.121,8880,8880,false,HKG,Asia Pacific,Hong Kong,52,3.11
8.218.143.10,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,3.11
47.238.6.102,80,80,false,HKG,Asia Pacific,Hong Kong,43,3.11
47.76.37.57,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,3.10
