IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
34.66.72.229,443,true,ORD,North America,Chicago,257 ms,4009 kB/s
34.82.76.253,443,true,SEA,North America,Seattle,282 ms,396 kB/s
34.123.83.237,443,true,ORD,North America,Chicago,239 ms,396 kB/s
35.230.79.26,443,true,SEA,North America,Seattle,249 ms,380 kB/s
34.105.49.234,443,true,SEA,North America,Seattle,279 ms,335 kB/s
34.88.63.160,443,true,FRA,Europe,Frankfurt,342 ms,252 kB/s
34.41.252.92,443,true,ORD,North America,Chicago,244 ms,115 kB/s
35.197.23.75,443,true,SEA,North America,Seattle,275 ms,73 kB/s
34.105.3.218,443,true,SEA,North America,Seattle,300 ms,64 kB/s
35.247.124.181,443,true,SEA,North America,Seattle,311 ms,54 kB/s
