IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
117.123.31.2,40007,false,ICN,Asia Pacific,Seoul,66 ms,4918 kB/s
117.123.207.117,40006,false,ICN,Asia Pacific,Seoul,70 ms,4756 kB/s
117.123.31.2,40006,false,ICN,Asia Pacific,Seoul,79 ms,4379 kB/s
125.208.102.111,40006,false,ICN,Asia Pacific,Seoul,72 ms,3741 kB/s
125.208.102.111,40007,false,ICN,Asia Pacific,Seoul,71 ms,2049 kB/s
124.80.43.124,13186,false,KIX,Asia Pacific,Osaka,153 ms,1599 kB/s
124.80.27.105,20402,false,NRT,Asia Pacific,Tokyo,117 ms,906 kB/s
113.60.187.90,14505,false,KIX,Asia Pacific,Osaka,161 ms,823 kB/s
124.80.27.105,27185,false,NRT,Asia Pacific,Tokyo,130 ms,180 kB/s
