IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
47.238.36.250,80,true,SIN,Asia Pacific,Singapore,62 ms,3960 kB/s
47.238.36.145,80,true,SIN,Asia Pacific,Singapore,64 ms,3884 kB/s
47.76.254.36,80,true,SIN,Asia Pacific,Singapore,65 ms,3842 kB/s
47.76.243.157,80,true,SIN,Asia Pacific,Singapore,71 ms,3841 kB/s
47.238.44.224,80,true,SIN,Asia Pacific,Singapore,60 ms,3455 kB/s
47.76.245.164,80,true,SIN,Asia Pacific,Singapore,62 ms,3135 kB/s
47.238.52.160,80,true,SIN,Asia Pacific,Singapore,64 ms,2879 kB/s
47.90.141.204,443,true,LAX,North America,Los Angeles,287 ms,2089 kB/s
47.238.138.232,80,true,CGK,Asia Pacific,Jakarta,56 ms,774 kB/s
47.236.181.185,8443,true,SIN,Asia Pacific,Singapore,224 ms,628 kB/s
47.57.233.126,443,true,SJC,North America,San Jose,66 ms,320 kB/s
47.57.245.232,443,true,SJC,North America,San Jose,67 ms,176 kB/s
8.218.148.106,443,true,HKG,Asia Pacific,Hong Kong,63 ms,18 kB/s
47.250.153.55,80,true,SIN,Asia Pacific,Singapore,166 ms,0 kB/s
