IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
124.199.33.104,22672,true,NRT,Asia Pacific,Tokyo,114 ms,1324 kB/s
124.80.20.114,30059,true,ICN,Asia Pacific,Seoul,93 ms,368 kB/s
124.80.75.68,35810,true,NRT,Asia Pacific,Tokyo,349 ms,316 kB/s
124.80.75.68,12654,true,KIX,Asia Pacific,Osaka,340 ms,192 kB/s
124.80.75.68,15772,true,KIX,Asia Pacific,Osaka,344 ms,160 kB/s
117.123.72.132,24016,true,NRT,Asia Pacific,Tokyo,431 ms,160 kB/s
124.80.75.68,39658,true,KIX,Asia Pacific,Osaka,352 ms,137 kB/s
124.80.75.68,26658,true,KIX,Asia Pacific,Osaka,348 ms,131 kB/s
124.80.75.68,25346,true,KIX,Asia Pacific,Osaka,342 ms,86 kB/s
124.80.20.114,25177,true,NRT,Asia Pacific,Tokyo,128 ms,24 kB/s
