IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.169.184.179,53763,443,true,LAX,North America,Los Angeles,178,2.62
154.23.241.9,13725,443,true,LAX,North America,Los Angeles,371,2.58
154.23.241.5,80,80,false,LAX,North America,Los Angeles,1,2.49
154.21.85.152,28557,443,true,LAX,North America,Los Angeles,176,2.47
2.59.151.168,34237,2096,true,LAX,North America,Los Angeles,177,2.39
91.149.239.70,443,443,true,LAX,North America,Los Angeles,2,2.33
212.103.62.226,14856,443,true,LAX,North America,Los Angeles,181,2.01
38.207.129.143,39966,443,true,LAX,North America,Los Angeles,182,1.62
154.17.20.22,18997,443,true,LAX,North America,Los Angeles,353,1.56
23.166.168.99,51056,443,true,LAX,North America,Los Angeles,351,1.43
154.9.249.84,56628,443,true,LAX,North America,Los Angeles,2,1.31
212.103.62.244,19560,443,true,LAX,North America,Los Angeles,370,1.26
154.23.240.148,15577,443,true,LAX,North America,Los Angeles,172,1.20
154.23.247.88,38457,443,true,LAX,North America,Los Angeles,1,1.12
154.9.241.153,55164,443,true,LAX,North America,Los Angeles,190,1.03
154.17.19.203,32826,443,true,LAX,North America,Los Angeles,2,0.87
154.208.9.253,30727,443,true,LAX,North America,Los Angeles,351,0.85
172.247.21.125,443,443,true,LAX,North America,Los Angeles,178,0.83
207.60.50.20,10560,443,true,LAX,North America,Los Angeles,3,0.76
154.9.241.153,38808,443,true,LAX,North America,Los Angeles,3,0.74
23.224.97.65,16775,443,true,LAX,North America,Los Angeles,184,0.67
38.148.249.108,8002,443,true,LAX,North America,Los Angeles,3,0.61
34.102.111.127,80,80,false,LAX,North America,Los Angeles,178,0.54
154.17.10.111,58475,443,true,LAX,North America,Los Angeles,523,0.53
38.47.113.241,34237,2096,true,LAX,North America,Los Angeles,7,0.52
91.217.139.94,34237,2096,true,LAX,North America,Los Angeles,4,0.51
212.103.62.226,30129,443,true,LAX,North America,Los Angeles,178,0.51
154.9.241.153,44075,443,true,LAX,North America,Los Angeles,196,0.49
154.17.20.7,34967,443,true,LAX,North America,Los Angeles,373,0.48
154.9.238.164,20004,443,true,LAX,North America,Los Angeles,178,0.44
34.36.183.121,80,80,false,LAX,North America,Los Angeles,348,0.30
154.9.241.153,56073,443,true,LAX,North America,Los Angeles,3,0.30
38.207.129.143,53606,443,true,LAX,North America,Los Angeles,183,0.27
38.47.255.83,8085,443,true,LAX,North America,Los Angeles,189,0.27
154.7.180.246,23190,443,true,LAX,North America,Los Angeles,2,0.25
154.39.79.251,10880,443,true,LAX,North America,Los Angeles,352,0.19
91.149.239.62,443,443,true,LAX,North America,Los Angeles,182,0.12
