IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.222.184.198,2095,2095,false,SIN,Asia Pacific,Singapore,4,3.04
8.222.165.117,2082,2082,false,SIN,Asia Pacific,Singapore,1,2.94
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,2,2.92
47.236.170.225,8080,8080,false,SIN,Asia Pacific,Singapore,6,2.79
47.236.195.221,443,443,true,SIN,Asia Pacific,Singapore,12,2.77
47.236.197.190,8443,443,true,SIN,Asia Pacific,Singapore,12,2.74
47.238.36.250,80,443,true,SIN,Asia Pacific,Singapore,2,2.67
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,2,2.61
47.237.11.182,80,80,false,SIN,Asia Pacific,Singapore,17,2.58
8.219.191.40,2095,2095,false,SIN,Asia Pacific,Singapore,1,2.28
47.236.150.13,8880,8880,false,SIN,Asia Pacific,Singapore,5,2.18
47.237.95.156,2087,2087,true,SIN,Asia Pacific,Singapore,5,1.82
47.236.145.85,2096,2096,true,SIN,Asia Pacific,Singapore,5,1.50
8.219.189.143,80,80,false,SIN,Asia Pacific,Singapore,1,1.31
47.236.144.208,2086,2086,false,SIN,Asia Pacific,Singapore,4,1.20
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,1,1.17
8.219.191.110,2052,2052,false,SIN,Asia Pacific,Singapore,2,1.15
8.219.104.37,2095,2095,false,SIN,Asia Pacific,Singapore,1,1.12
8.222.193.65,80,80,false,SIN,Asia Pacific,Singapore,3,1.07
47.237.82.15,8080,8080,false,SIN,Asia Pacific,Singapore,0,1.07
47.236.83.239,2095,2095,false,SIN,Asia Pacific,Singapore,1,1.02
47.237.86.185,2095,2095,false,SIN,Asia Pacific,Singapore,1,0.96
47.237.86.185,8880,8880,false,SIN,Asia Pacific,Singapore,2,0.94
47.236.150.13,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.85
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,4,0.83
8.219.104.37,8880,8880,false,SIN,Asia Pacific,Singapore,4,0.76
8.219.78.1,2087,2087,true,SIN,Asia Pacific,Singapore,2,0.70
47.236.181.185,8443,443,true,SIN,Asia Pacific,Singapore,12,0.60
8.219.78.1,2082,2082,false,SIN,Asia Pacific,Singapore,5,0.53
8.219.189.143,2052,2052,false,SIN,Asia Pacific,Singapore,1,0.43
8.219.104.37,8443,8443,true,SIN,Asia Pacific,Singapore,2,0.37
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,4,0.35
47.237.14.220,80,80,false,SIN,Asia Pacific,Singapore,12,0.32
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,2,0.30
47.237.0.31,2052,2052,false,SIN,Asia Pacific,Singapore,2,0.30
47.236.83.239,8880,8880,false,SIN,Asia Pacific,Singapore,2,0.27
8.219.189.143,8080,8080,false,SIN,Asia Pacific,Singapore,1,0.26
47.236.180.51,2052,2052,false,SIN,Asia Pacific,Singapore,5,0.26
47.237.82.15,2086,2086,false,SIN,Asia Pacific,Singapore,2,0.24
8.219.78.1,8880,8880,false,SIN,Asia Pacific,Singapore,1,0.18
47.236.202.91,2096,2096,true,SIN,Asia Pacific,Singapore,11,0.16
47.236.254.120,2086,2086,false,SIN,Asia Pacific,Singapore,0,0.02
50.114.55.57,33735,443,true,SIN,Asia Pacific,Singapore,2,0.01
47.236.145.85,2095,2095,false,SIN,Asia Pacific,Singapore,1,0.00
43.156.116.194,443,443,true,SIN,Asia Pacific,Singapore,16,0.00
120.220.19.109,2082,2082,false,SIN,Asia Pacific,Singapore,2,0.00
8.219.78.1,8080,8080,false,SIN,Asia Pacific,Singapore,1,0.00
124.156.202.172,443,443,true,SIN,Asia Pacific,Singapore,9,0.00
43.156.181.203,443,443,true,SIN,Asia Pacific,Singapore,13,0.00
47.236.93.176,8080,8080,false,SIN,Asia Pacific,Singapore,2,0.00
